type,name,architecture,library
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingChildValuesCountValid],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingDynamicTypeHasChanged],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingExpressionPath],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingInScope],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingSummaryHasChanged],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingSummary],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingValueHasChanged],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingValueValidity],X86_64,
Text Section (Local),+[DBGGDBDataValue keyPathsForValuesAffectingValue],X86_64,
Text Section (Local),+[DBGGDBSession _gdbDataValueFormats],X86_64,
BSS Section (Local),+[DBGGDBSession _gdbDataValueFormats].formats,X86_64,
Text Section (Local),+[DBGGDBSession _inputEndsInFormatRequest:],X86_64,
Text Section (Local),+[DBGGDBSession _naturalFormat],X86_64,
Text Section (Local),+[DBGGDBSession dataValueFormatForTag:],X86_64,
Text Section (Local),+[DBGGDBSession defaultFormat],X86_64,
Text Section (Local),+[DBGGDBStackFrame keyPathsForValuesAffectingLineNumber],X86_64,
Text Section (Local),+[DBGGDBStream stream],X86_64,
Text Section (Local),+[DBGGDBStreamSink streamSink],X86_64,
Text Section (Local),+[PBXGDB_Adaptor name],X86_64,
Text Section (Local),+[PBXGDB_Adaptor registerActiveAdaptor:],X86_64,
Text Section (Local),+[PBXGDB_Adaptor unRegisterActiveAdaptor:],X86_64,
Text Section (Local),+[PBXGDB_Adaptor variableFormatKeyForDataValue:],X86_64,
Text Section (Local),+[PBXGDB_ArrayDataValueSequence sequenceWithContainerDV:dataValue:],X86_64,
Text Section (Local),+[PBXGDB_BaseBreakpointSequence _symbolNameFromGDBAtParameter:],X86_64,
BSS Section (Local),+[PBXGDB_BaseBreakpointSequence _symbolNameFromGDBAtParameter:].regularExpression,X86_64,
Text Section (Local),+[PBXGDB_BaseDataValueSequence initialize],X86_64,
Text Section (Local),+[PBXGDB_BreakpointActionEvaluateExpressionSequence sequenceWithBreakpoint:andAction:],X86_64,
Text Section (Local),+[PBXGDB_BreakpointCommandSequence sequenceWithCommand:forBreakpointNum:],X86_64,
Text Section (Local),+[PBXGDB_BreakpointConditionSequence sequenceWithCondition:forBreakpointNum:],X86_64,
Text Section (Local),+[PBXGDB_BreakpointController _createRegexForBreakpoints:],X86_64,
Text Section (Local),+[PBXGDB_BreakpointIgnoreCountSequence sequenceWithIgnoreCount:forBreakpointNum:],X86_64,
Text Section (Local),+[PBXGDB_CTypeController typeControllerForSession:],X86_64,
Text Section (Local),+[PBXGDB_CommandSequence initialize],X86_64,
Text Section (Local),+[PBXGDB_ContinueToCallSymbolSequence maxStepAttempts],X86_64,
Data Section (Local),+[PBXGDB_ContinueToCallSymbolSequence maxStepAttempts].PBXGDB_ContinueToCallSymbolSequence_MaxStepAttempts,X86_64,
Text Section (Local),+[PBXGDB_ContinueToCallSymbolSequence sequenceWithSymbol:file:lineNumber:],X86_64,
Text Section (Local),+[PBXGDB_ContinueToHereSequence sequenceWithFile:lineNumber:],X86_64,
Text Section (Local),+[PBXGDB_DisassembleSequence sequenceWithFrame:mixedMode:resultHandler:],X86_64,
Text Section (Local),+[PBXGDB_DynamicLinkerImage _appendSharedLibraryEntryFrom:adaptor:],X86_64,
Text Section (Local),+[PBXGDB_DynamicLinkerImage _debugSymbolsLoadState:],X86_64,
Text Section (Local),+[PBXGDB_DynamicLinkerImage appendSharedLibraryImagesFrom:adaptor:],X86_64,
Text Section (Local),+[PBXGDB_FixAndContinueSequence sequenceWithPatchFile:sourceFile:objectFile:shlib:],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointActionExpressionCommand commandWithExpression:],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointCommandCommand GDBCommand],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointCommandCommand commandWithCommand:forBreakpointNum:],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointConditionCommand GDBCommand],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointConditionCommand commandWithCondition:forBreakpointNum:],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointIgnoreCountCommand GDBCommand],X86_64,
Text Section (Local),+[PBXGDB_MIBreakpointIgnoreCountCommand commandIgnoreCount:forBreakpointNum:],X86_64,
Text Section (Local),+[PBXGDB_MICommand miCommand],X86_64,
Text Section (Local),+[PBXGDB_MICommand nextSequenceNumber],X86_64,
Text Section (Local),+[PBXGDB_MIConsoleCommands miCommandWithStringToComplete:],X86_64,
Text Section (Local),+[PBXGDB_MICreateTemporaryBreakpointCommand breakpointWithFileName:lineNumber:],X86_64,
Text Section (Local),+[PBXGDB_MICreateTemporaryBreakpointCommand breakpointWithSymbol:],X86_64,
Text Section (Local),+[PBXGDB_MICreateWatchpointCommand GDBCommand],X86_64,
