type,name,architecture,library
Text Section (Local),+[DBGGDBDebugLocalService _loadDebuggerExtension],X86_64,
BSS Section (Local),+[DBGGDBDebugLocalService _loadDebuggerExtension]._debuggerExtension,X86_64,
Text Section (Local),+[DBGGDBDebugLocalService capability],X86_64,
BSS Section (Local),+[DBGGDBDebugLocalService capability]._capability,X86_64,
Text Section (Local),+[DBGGDBRunLocalService capability],X86_64,
BSS Section (Local),+[DBGGDBRunLocalService capability]._capability,X86_64,
Text Section (Local),-[DBGGDBDebugLocalService operationWorkerWithLaunchSession:error:],X86_64,
Text Section (Local),-[DBGGDBRunLocalService capabilitySequenceForLaunchSession:],X86_64,
Text Section (Local),-[DBGGDBRunLocalService operationWorkerWithLaunchSession:error:],X86_64,
Undefined,_DVTDeviceCapabilityMatchAnythingToken,X86_64,
Undefined,_DVTDeviceServiceIdentifierKey,X86_64,
Symbol,_DebuggerGDBServiceVersionNumber,X86_64,
Symbol,_DebuggerGDBServiceVersionString,X86_64,
Undefined,_IDERunDeviceServiceDebugServiceIdentifier,X86_64,
Undefined,_IDERunDeviceServiceDebuggerIdentifierKey,X86_64,
Undefined,_IDERunDeviceServiceHighLevelKey,X86_64,
Undefined,_IDERunDeviceServiceLaunchInSuspendedModeKey,X86_64,
Undefined,_IDERunDeviceServiceLauncherIdentifierKey,X86_64,
Undefined,_IDERunDeviceServiceRunServiceIdentifier,X86_64,
Symbol (Local),_OBJC_$_CLASS_METHODS___ARCLite__,X86_64,
Symbol,_OBJC_CLASS_$_DBGGDBDebugLocalService,X86_64,
Symbol,_OBJC_CLASS_$_DBGGDBRunLocalService,X86_64,
Undefined,_OBJC_CLASS_$_DVTDeviceCapability,X86_64,
Undefined,_OBJC_CLASS_$_DVTPlugInManager,X86_64,
Undefined,_OBJC_CLASS_$_IDEExecutionRunnableTracker,X86_64,
Undefined,_OBJC_CLASS_$_IDEInstallLocalMacService,X86_64,
Undefined,_OBJC_CLASS_$_IDERunDeviceService,X86_64,
Undefined,_OBJC_CLASS_$_IDERunOperationWorkerGroup,X86_64,
Undefined,_OBJC_CLASS_$_NSArray,X86_64,
Undefined,_OBJC_CLASS_$_NSAutoreleasePool,X86_64,
Undefined,_OBJC_CLASS_$_NSDictionary,X86_64,
Undefined,_OBJC_CLASS_$_NSMutableArray,X86_64,
Undefined,_OBJC_CLASS_$_NSMutableDictionary,X86_64,
Undefined,_OBJC_CLASS_$_NSNumber,X86_64,
Symbol (Local),_OBJC_CLASS_$___ARCLite__,X86_64,
Symbol (Local),_OBJC_CLASS_RO_$___ARCLite__,X86_64,
Symbol,_OBJC_METACLASS_$_DBGGDBDebugLocalService,X86_64,
Symbol,_OBJC_METACLASS_$_DBGGDBRunLocalService,X86_64,
Undefined,_OBJC_METACLASS_$_IDERunDeviceService,X86_64,
Undefined,_OBJC_METACLASS_$_NSObject,X86_64,
Symbol (Local),_OBJC_METACLASS_$___ARCLite__,X86_64,
Symbol (Local),_OBJC_METACLASS_RO_$___ARCLite__,X86_64,
Undefined,__Block_copy,X86_64,
Undefined,__DVTAssertionFailureHandler,X86_64,
Undefined,__NSConcreteGlobalBlock,X86_64,
Text Section (Local),___ARCLite__load,X86_64,
Undefined,___CFConstantStringClassReference,X86_64,
Text Section (Local),___arclite_objc_autorelease,X86_64,
Text Section (Local),___arclite_objc_autoreleasePoolPop,X86_64,
Text Section (Local),___arclite_objc_autoreleasePoolPush,X86_64,
Text Section (Local),___arclite_objc_autoreleaseReturnValue,X86_64,
Text Section (Local),___arclite_objc_release,X86_64,
Text Section (Local),___arclite_objc_retain,X86_64,
Text Section (Local),___arclite_objc_retainAutorelease,X86_64,
Text Section (Local),___arclite_objc_retainAutoreleaseReturnValue,X86_64,
Text Section (Local),___arclite_objc_retainAutoreleasedReturnValue,X86_64,
Text Section (Local),___arclite_objc_retainBlock,X86_64,
Text Section (Local),___arclite_objc_storeStrong,X86_64,
Text Section (Local),___arclite_objectAtIndexedSubscript,X86_64,
Text Section (Local),___arclite_objectForKeyedSubscript,X86_64,
Text Section (Local),___arclite_object_copy,X86_64,
Text Section (Local),___arclite_object_setInstanceVariable,X86_64,
Text Section (Local),___arclite_object_setIvar,X86_64,
Text Section (Local),___arclite_setObject_atIndexedSubscript,X86_64,
Text Section (Local),___arclite_setObject_forKeyedSubscript,X86_64,
Symbol (Local),___block_descriptor_tmp,X86_64,
Symbol (Local),___block_descriptor_tmp14,X86_64,
Symbol (Local),___block_literal_global,X86_64,
Symbol (Local),___block_literal_global15,X86_64,
Text Section (Local),___install_subscripting_methods_block_invoke_0,X86_64,
Text Section (Local),___install_subscripting_methods_block_invoke_07,X86_64,
Undefined,___stack_chk_fail,X86_64,
Undefined,___stack_chk_guard,X86_64,
Symbol (Local),__class_name,X86_64,
Undefined,__dyld_register_func_for_add_image,X86_64,
Symbol (Local),__load_method_name,X86_64,
Symbol (Local),__load_method_type,X86_64,
Symbol (Local),__non_lazy_classes,X86_64,
Undefined,__objc_empty_cache,X86_64,
Undefined,__objc_empty_vtable,X86_64,
Text Section (Local),_add_image_hook,X86_64,
Data Section (Local),_add_image_hook.names,X86_64,
Data Section (Local),_add_image_hook.pointers,X86_64,
Undefined,_calloc,X86_64,
Undefined,_class_addMethod,X86_64,
Undefined,_class_getInstanceMethod,X86_64,
Undefined,_class_getInstanceSize,X86_64,
Undefined,_class_getInstanceVariable,X86_64,
Undefined,_class_getIvarLayout,X86_64,
Undefined,_class_getSuperclass,X86_64,
Text Section (Local),_installMethod,X86_64,
Undefined,_ivar_getName,X86_64,
Undefined,_ivar_getOffset,X86_64,
Undefined,_memmove,X86_64,
Undefined,_objc_assign_global,X86_64,
Undefined,_objc_assign_strongCast,X86_64,
Undefined,_objc_enumerationMutation,X86_64,
Undefined,_objc_msgSend,X86_64,
Undefined,_objc_msgSend_fixup,X86_64,
Undefined,_objc_retain,X86_64,
Text Section,_objc_retainedObject,X86_64,
Text Section,_objc_unretainedObject,X86_64,
Text Section,_objc_unretainedPointer,X86_64,
Undefined,_object_getClass,X86_64,
Undefined,_object_setIvar,X86_64,
Undefined,_protocol_getMethodDescription,X86_64,
Undefined,_strcmp,X86_64,
Undefined,dyld_stub_binder,X86_64,
