type,name,architecture,library
Undefined,_AT_TARGET_LINE,X86_64,GDBMIDebugging
Undefined,_CFRelease,X86_64,GDBMIDebugging
Undefined,_CFRetain,X86_64,GDBMIDebugging
Symbol,_EOB_char,X86_64,GDBMIDebugging
Symbol,_EOL_char,X86_64,GDBMIDebugging
Undefined,_NSApp,X86_64,GDBMIDebugging
Undefined,_NSBeep,X86_64,GDBMIDebugging
Undefined,_NSBeginAlertSheet,X86_64,GDBMIDebugging
Undefined,_NSClassFromString,X86_64,GDBMIDebugging
Undefined,_NSIntersectionRange,X86_64,GDBMIDebugging
Undefined,_NSLog,X86_64,GDBMIDebugging
Undefined,_NSSelectorFromString,X86_64,GDBMIDebugging
Undefined,_NSStringFromClass,X86_64,GDBMIDebugging
Undefined,_NSStringFromSelector,X86_64,GDBMIDebugging
Undefined,_NSTemporaryDirectory,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_DTDeveloperPaths,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSAlert,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSArray,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSAttributedString,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSBundle,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSCharacterSet,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSData,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSDate,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSDictionary,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSException,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSMutableArray,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSMutableAttributedString,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSMutableData,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSMutableDictionary,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSMutableSet,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSMutableString,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSNotificationCenter,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSNumber,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSObject,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSProcessInfo,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSRunLoop,X86_64,GDBMIDebugging
Undefined,_OBJC_CLASS_$_NSSet,X86_64,GDBMIDebugging
