type,name,architecture,library
Symbol (Local),stub helpers,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_CoreFoundationTypeRefIsValid,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFAbsoluteTimeSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFArraySummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFBagSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFBinaryHeapSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFBitVectorSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFDataSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFDictionarySummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFError,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFGregorianDateSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFSetSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFStringSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFTimeZoneSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_CFTypeRefSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_dataFormattersMajorVersion,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_dataFormattersMinorVersion,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_dataFormattersSupportUnicharXcode_CF,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_wcharPointerSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,_Xcode_wcharSummary,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,__Xcode_wcharPointerForCount,X86_64,PBGDBIntrospectionSupport.A.dylib
Symbol (Local),___FUNCTION__.16616,X86_64,PBGDBIntrospectionSupport.A.dylib
Symbol (Local),___FUNCTION__.16678,X86_64,PBGDBIntrospectionSupport.A.dylib
Symbol (Local),___FUNCTION__.16704,X86_64,PBGDBIntrospectionSupport.A.dylib
Symbol (Local),___FUNCTION__.16722,X86_64,PBGDBIntrospectionSupport.A.dylib
Undefined,___stack_chk_fail,X86_64,PBGDBIntrospectionSupport.A.dylib
Undefined,___stack_chk_guard,X86_64,PBGDBIntrospectionSupport.A.dylib
Undefined,___stderrp,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section (Local),__mh_dylib_header,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section (Local),__pbxgdb_buffer_for_id,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,__pbxgdb_cf_introspect_string,X86_64,PBGDBIntrospectionSupport.A.dylib
Text Section,__pbxgdb_cf_introspect_string_buffer,X86_64,PBGDBIntrospectionSupport.A.dylib
